Product_Code,Cartridge,Bullet_Weight_gr,Bullet_Type,Item_Number,Velocity_MUZ,Velocity_100,Velocity_200,Velocity_300,Velocity_400,Velocity_500,Energy_MUZ,Energy_100,Energy_200,Energy_300,Energy_400,Energy_500,Trajectory_MUZ,Trajectory_100,Trajectory_200,Trajectory_300,Trajectory_400,Trajectory_500,Notes
V,17 Mach 2,15.5,NTX®,83176,2050,1450,1070,,,,145,72,39,,,,"-1.5","0","-15.6",,,
V,17 Mach 2,17,V-MAX®,83177,2100,1531,1133,,,,166,88,48,,,,"-1.5","0","-13.8",,,
V,17 HMR,15.5,NTX®,83171,2525,1830,1291,,,,219,115,57,,,,"-1.5","0","-10",,,
V,17 HMR,17,V-MAX®,83170,2550,1902,1379,,,,245,137,72,,,,"-1.5","0","-8.5",,,
V,17 HMR,20,XTP®,83172,2375,1755,1274,,,,250,137,72,,,,"-1.5","0","-9.9",,,
V,17 WSM,20,V-MAX®,83180,3000,2504,2058,,,,400,278,188,,,,"-1.5","0","-4.1",,,
SV,17 Hornet,20,V-MAX®,83005,3650,3077,2574,2122,1721,1383,592,420,294,200,132,85,"-1.5","1.1","0","-6.4","-20.7","-46.9",
SV,204 Ruger,24,NTX® (26" Bbl),83209,4400,3667,3046,2504,2023,1604,1032,717,494,334,218,137,"-1.5","0.6","0","-4.3","-14.3","-33.0","26"" barrel"
SV,204 Ruger,32,V-MAX® (26" Bbl),83204,4225,3645,3137,2685,2275,1903,1268,944,699,512,368,257,"-1.5","0.6","0","-4.1","-13.1","-28.9","26"" barrel"
SV,204 Ruger,40,V-MAX® (26" Bbl),83206,3900,3482,3104,2757,2435,2136,1351,1077,855,675,527,405,"-1.5","0.7","0","-4.3","-13.2","-28.0","26"" barrel"
V,22 WMR,30,V-MAX®,83202,2200,1454,1026,,,,322,141,70,,,,"-1.5","0","-15.7",,,
V,22 Hornet,35,V-MAX®,8302,3070,2247,1574,1117,918,802,732,392,192,97,65,50,"-1.5","2.9","0","-17.5","-62.7","-149.2",
C,22 Hornet,45,SP,83028,2665,2241,1858,1523,1252,1071,710,502,345,232,157,115,"-1.5","2.8","0","-13.0","-41.2","-91.6",
C,218 Bee,45,HP Match,8307,2750,1974,1362,1019,867,763,756,389,185,104,75,58,"-1.5","3.9","0","-23.2","-79.6","-182.3",
SV,222 Rem,35,NTX®,8309,3760,3148,2615,2140,1719,1369,1099,770,531,356,230,146,"-1.5","1.0","0","-6.2","-20.1","-46.0",
SV,222 Rem,50,V-MAX®,8316,3345,2930,2553,2205,1886,1599,1242,953,723,540,395,284,"-1.5","1.3","0","-6.7","-20.6","-44.3",
B,5.45 x 39mm,60,V-MAX® (16" Bbl),81247,2810,2495,2202,1929,1679,1457,1052,830,646,496,376,283,"-1.8","1.9","0","-9.1","-27.7","-58.6","16"" barrel"
SV,223 Rem,35,NTX®,83266,4000,3353,2796,2302,1861,1483,1243,874,607,412,269,171,"-1.5","0.8","0","-5.3","-17.3","-39.6",
SV,223 Rem,53,V-MAX®,8025,3465,3106,2776,2470,2183,1916,1413,1135,907,718,561,432,"-1.5","1.1","0","-5.6","-16.9","-35.6",
SF,223 Rem,55,CX™,832744,3250,2849,2482,2144,1834,1557,1290,991,753,561,411,296,"-1.5","0","-2.8","-11.3","-27.5","-54.1",
CD,223 Rem,55,FTX®,80270,3240,2690,2201,1768,,,1282,883,592,382,,,"-1.5","0","-3.4","-14.1",,
AG,223 Rem,55,HP Match,80237,3240,2802,2405,2042,1713,1429,1282,959,706,509,358,249,"-1.5","1.5","0","-7.6","-23.6","-51.5",
C,223 Rem,55,SP,80255,3240,2855,2502,2175,1873,1602,1282,995,764,578,429,313,"-1.5","1.4","0","-7.0","-21.4","-45.8",
B,223 Rem,62,FMJ,80234,3100,2751,2428,2127,1849,1597,1323,1042,811,623,471,351,"-1.5","1.6","0","-7.5","-22.7","-48.2",
M,223 Rem,73,ELD® Match,80269,2790,2563,2348,2143,1949,1766,1262,1065,894,744,616,505,"-1.5","1.9","0","-8.2","-24.0","-49.0",
CD,223 Rem,73,FTX®,80260,2790,2448,2131,1839,,,1262,971,736,548,,,"-1.5","0","-4.4","-16.4",,
B,223 Rem,75,BTHP,80267,2790,2562,2345,2139,1943,1759,1296,1093,916,762,629,515,"-1.5","1.9","0","-8.2","-24.1","-49.3",
M,223 Rem,75,BTHP,8026,2790,2562,2345,2139,1943,1759,1296,1093,916,762,629,515,"-1.5","1.9","0","-8.2","-24.1","-49.3",
SM,223 Rem,75,BTHP,80264,2930,2695,2471,2259,2057,1866,1430,1209,1017,850,705,580,"-1.5","1.7","0","-7.4","-21.6","-44.0",
SF,5.56 NATO,55,CX™ (20" Bbl),812544,3175,2781,2420,2086,1781,1511,1231,944,715,531,388,279,"-1.5","0","-3.0","-12.1","-29.1","-57.3","20"" barrel"
B,5.56 NATO,62,FMJ (20" Bbl),81263,3060,2714,2394,2095,1820,1571,1289,1014,789,604,456,340,"-1.5","1.6","0","-7.7","-23.4","-49.7","20"" barrel"
SM,5.56 NATO,75,BTHP (20" Bbl),81264,2910,2676,2453,2242,2041,1851,1410,1192,1002,837,693,570,"-2.4","1.2","0","-7.0","-21.0","-43.3","20"" barrel"
B,5.56 NATO,75,InterLock® HD SBR™ (20" Bbl),81296,2310,1695,1654,1387,1179,1042,889,643,456,321,231,181,"-2.5","3.3","0","-16.1","-50.5","-109.9","20"" barrel"
V,224 Valkyrie,60,V-MAX® W/C,81531,3300,2924,2578,2258,1961,1690,1451,1139,885,679,512,380,"-1.5","1.3","0","-6.6","-20.0","-42.6",
B,224 Valkyrie,75,BTHP W/C,81532,3000,2761,2534,2319,2114,1920,1499,1269,1070,896,744,614,"-1.5","1.5","0","-7.0","-20.4","-41.7",
M,224 Valkyrie,88,ELD® Match,81534,2675,2513,2356,2205,2060,1920,1398,1234,1085,950,829,720,"-1.5","2.0","0","-8.3","-23.7","-47.4",
SV,22-250 Rem,35,NTX®,8334,4450,3736,3128,2598,2125,1706,1539,1085,761,524,351,226,"-1.5","0.5","0","-4.1","-13.4","-30.6",
V,22-250 Rem,50,V-MAX®,8336,3800,3339,2925,2548,2201,1882,1603,1238,950,721,538,393,"-1.5","0.8","0","-4.9","-15.2","-32.8",
SV,22-250 Rem,50,V-MAX®,83366,4000,3517,3086,2696,2337,2006,1776,1373,1057,807,606,447,"-1.5","0.7","0","-4.3","-13.5","-29.1",
V,22-250 Rem,55,V-MAX®,8337,3680,3253,2868,2514,2186,1884,1654,1293,1004,772,583,433,"-1.5","0.9","0","-5.1","-15.8","-33.9",
V,220 Swift,55,V-MAX®,8324,3680,3253,2868,2514,2186,1884,1654,1293,1004,772,583,433,"-1.5","0.9","0","-5.1","-15.8","-33.9",
PH,6mm ARC,103,ELD-X®,81602,2800,2623,2452,2288,2130,1979,1793,1573,1375,1197,1038,895,"-1.5","1.8","0","-7.6","-21.8","-43.7",
B,6mm ARC,105,BTHP,81604,2750,2580,2417,2260,2108,1963,1763,1552,1362,1190,1036,898,"-1.5","1.9","0","-7.8","-22.4","-44.9",
M,6mm ARC,108,ELD® Match,81608,2750,2582,2421,2265,2115,1971,1813,1599,1405,1230,1072,931,"-1.5","1.9","0","-7.8","-22.4","-44.8",
SV,243 Win,58,V-MAX®,8343,3925,3465,3052,2676,2330,2010,1984,1546,1200,922,699,520,"-1.5","0.7","0","-4.4","-13.8","-29.6",
SV,243 Win,75,V-MAX®,83433,3580,3254,2953,2672,2407,2158,2134,1764,1452,1189,965,775,"-1.5","0.9","0","-4.9","-14.7","-30.5",
O,243 Win,80,CX™,804574,3200,2842,2513,2206,1921,1661,1819,1435,1121,864,656,490,"-1.5","1.4","0","-7.0","-21.1","-44.8",
CL,243 Win,87,SST®,80466,2800,2574,2359,2155,1961,1778,1514,1280,1075,897,743,611,"-1.5","1.9","0","-8.1","-23.8","-48.5",
C,243 Win,87,V-MAX®,80468,3240,2990,2754,2530,2317,2114,2028,1727,1465,1236,1037,863,"-1.5","1.2","0","-5.8","-17.0","-34.8",
PH,243 Win,90,ELD-X®,80462,3150,2911,2685,2469,2264,2069,1983,1693,1440,1219,1024,855,"-1.5","1.3","0","-6.1","-18.0","-36.6",
SF,243 Win,95,SST®,80463,3185,2908,2649,2404,2172,1953,2140,1784,1480,1219,995,804,"-1.5","1.3","0","-6.3","-18.6","-38.3",
AW,243 Win,100,InterLock® BTSP,8047,2960,2729,2509,2300,2101,1912,1945,1653,1398,1175,980,812,"-1.5","1.6","0","-7.1","-20.9","-42.5",
SF,6mm Rem,95,SST®,81663,3235,2955,2693,2445,2211,1990,2207,1842,1530,1261,1031,835,"-1.5","1.3","0","-6.1","-18.0","-37.0",
V,6mm Creedmoor,87,V-MAX®,81393,3210,2962,2727,2505,2292,2091,1990,1694,1437,1212,1015,844,"-1.5","1.2","0","-5.9","-17.4","-35.5",
